mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
2.0,"23 km N of Willow, Alaska",1622332708509,1622333534854,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0216ut468m,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0216ut468m&format=geojson,,,,,automatic,0,62,ak,0216ut468m,",ak0216ut468m,",",ak,",",origin,",,,0.62,,ml,earthquake,"M 2.0 - 23 km N of Willow, Alaska"
0.35,"2km N of The Geysers, CA",1622331217450,1622338572406,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73567366,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73567366&format=geojson,,,,,automatic,0,2,nc,73567366,",nc73567366,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.005785,0.02,120.0,md,earthquake,"M 0.4 - 2km N of The Geysers, CA"
4.5,"91 km W of San Antonio de los Cobres, Argentina",1622330654734,1622398852359,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000efw3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000efw3&format=geojson,1.0,1.0,,,reviewed,0,312,us,6000efw3,",us6000efw3,",",us,",",dyfi,origin,phase-data,",,1.451,0.51,106.0,mb,earthquake,"M 4.5 - 91 km W of San Antonio de los Cobres, Argentina"
2.16,"18km E of Ocotillo, CA",1622330638080,1622330856366,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39909792,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39909792&format=geojson,,,,,automatic,0,72,ci,39909792,",ci39909792,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",25.0,0.09278,0.28,57.0,ml,earthquake,"M 2.2 - 18km E of Ocotillo, CA"
4.4,"115 km WNW of San Antonio de los Cobres, Argentina",1622330295993,1622332202040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000efw1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000efw1&format=geojson,,,,,reviewed,0,298,us,6000efw1,",us6000efw1,",",us,",",origin,phase-data,",,1.111,0.44,100.0,mb,earthquake,"M 4.4 - 115 km WNW of San Antonio de los Cobres, Argentina"
0.9,"15km W of Searles Valley, CA",1622330237600,1622390824948,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39909784,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39909784&format=geojson,,,,,reviewed,0,12,ci,39909784,",ci39909784,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",10.0,0.05018,0.26,167.0,ml,earthquake,"M 0.9 - 15km W of Searles Valley, CA"
2.3,"9 km ESE of Chickasha, Oklahoma",1622329505626,1622332333112,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2021kmed,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2021kmed&format=geojson,1.0,2.0,,,automatic,0,82,ok,2021kmed,",ok2021kmed,",",ok,",",dyfi,origin,phase-data,",37.0,0.09346185625,0.6929814183,64.03417969,ml,earthquake,"M 2.3 - 9 km ESE of Chickasha, Oklahoma"
4.1,"21 km NNE of Bandar-e Genāveh, Iran",1622329371232,1622332500040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000efvz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000efvz&format=geojson,,,,,reviewed,0,259,us,6000efvz,",us6000efvz,",",us,",",origin,phase-data,",,6.781,0.67,89.0,mb,earthquake,"M 4.1 - 21 km NNE of Bandar-e Genāveh, Iran"
2.08,"7 km E of Pāhala, Hawaii",1622327155510,1622327485380,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72494517,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72494517&format=geojson,,,,,automatic,0,67,hv,72494517,",hv72494517,",",hv,",",origin,phase-data,",35.0,,0.129999995,154.0,ml,earthquake,"M 2.1 - 7 km E of Pāhala, Hawaii"
0.43,"8km NE of Aguanga, CA",1622325816110,1622326025822,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39909760,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39909760&format=geojson,,,,,automatic,0,3,ci,39909760,",ci39909760,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.01549,0.15,156.0,ml,earthquake,"M 0.4 - 8km NE of Aguanga, CA"
1.8,"21 km S of Petersville, Alaska",1622325136155,1622325450862,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0216urvzri,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0216urvzri&format=geojson,,,,,automatic,0,50,ak,0216urvzri,",ak0216urvzri,",",ak,",",origin,",,,0.65,,ml,earthquake,"M 1.8 - 21 km S of Petersville, Alaska"
1.3,"70 km E of Cantwell, Alaska",1622324835949,1622325039863,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0216urux63,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0216urux63&format=geojson,,,,,automatic,0,26,ak,0216urux63,",ak0216urux63,",",ak,",",origin,",,,0.41,,ml,earthquake,"M 1.3 - 70 km E of Cantwell, Alaska"
